NAME,WHEN TO SOW SEED - BLF,HOW TO SOW,LIGHT OR DARK,REQUIREMENTS,TEMPERATURE,GERMINATION TIME,TIME TO PLANT OUT,HARDEN OFF,WHEN FLOWERING,PLANT SPACING,HEIGHT,BOUQUET ,VASE LIFE,OTHER NOTES,Image of seed
SNAPDRAGON,6 - 12 WKS,"SPRINKLE ON SURFACE, LIGHTLY COVER VERMICULITE",LIGHT,LIGHT & MOISTURE,18°C,7 - 14 DAYS,,HARDEN OFF,,15CM,15 - 120CM,SPIKES,,,
DELPHINIUM/LARKSPUR,6 - 8 WKS,1/4 INCH DEEP,DARK,DARK & MOISTURE,18°C - 24°C,1 - 3 WKS,,,,30 - 90CM,30 - 210CM,SPIKES,,,
POPPIES,WINTER,SURFACE LIGHTLY COVERED - DO NOT LIKE TRANSPANT,LIGHT,STRATIFICATION & SOIL BLOCK,COOL,10 - 21 DAYS,,,,15CM,30 - 60CM,DISKS,,PLANT OUT AFTER 6 WEEKS,
ORACH,WINTER,2mm DEEP,DARK,"DARK, CAN TOLERATE LIGHT, SOIL BLOCK",18°C - 20°C ,7 - 14 DAYS,,,,40CM,120 - 180CM,FILLER/AIR,,SHADE IN HEAT OF SUMMER,
BUPLEURUM,6 WKS,SURFACE LIGHTLY COVERED - DO NOT LIKE TRANSPANT,DARK,STRATIFICATION & SOIL BLOCK,13°C - 16°C,14 - 21 DAYS,,,,30CM,30 - 60CM,FILLER,,,
BELLS OF IRELAND,4 WKS,"PLACE SEEDS BET DAMP PAPER TOWEL - SEAL IN ZIPLOC IN FRIDGE 1-2WKS SURFACE, LIGHTLY PRESS INTO SOIL NO COVER",LIGHT,LIGHT  ,18°C - 20°C ,7 - 21 DAYS,,,,23 - 30CM,60 - 90CM,FILLER,,,
ALLIUM,WINTER,TWICE THEIR HEIGHT,DARK,"STRATIFICATION, DARK & MOIST",COOL,20 - 30 DAYS,,,,15 - 20CM,180CM,DISKS,,,
BABY'S BREATH,6 - 8 WKS,6mm LIGHTLY COVERED,LIGHT,LIGHT & MOIST  ,20°C - 22°C ,10 - 20 DAYS,,,,10 - 30CM,50 - 100CM,FILLER,,,
STOCK,6 - 8 WKS,3mm LIGHTLY COVERED WITH VERMICULITE,LIGHT,LIGHT,18°C - 24°C,7 - 14 DAYS,,HARDEN OFF,,20 - 40CM,30 - 80CM,SPIKES,,,
QUEEN ANNE'S LACE,4 - 6 WKS,5mm PRESS INTO SPOIL,LIGHT,STRATIFICATION & SOIL BLOCK,16°C - 18°C ,12 - 18 DAYS,,,,15 - 20CM,30 - 120CM,FILLER,,,
STRAW FLOWER,MID SPRING,"SPRINKLE ON SURFACE, LIGHTLY COVER VERMICULITE",LIGHT,LIGHT & MOIST,21°C - 24°C ,7 - 10 DAYS,,,,15CM,60 - 90CM,DISKS,,,
COSMOS,6 WKS,6mm,LIGHT,LIGHT & MOIST,21°C - 26°C ,7 - 21 DAYS,,,,45CM,30 - 90CM,FILLER,,,
CELOSIA,4 - 5 WKS,SOIL LESS MIX 6mm,LIGHT,LIGHT & MOIST,24°C - 27°C ,7 - 10 DAYS,,,,15 - 30CM,15 - 120CM,SPIKES,,,
ZINNIA,4 - 6 WKS,6mm,DARK,DARK & WARM & MOIST,21°C - 29°C ,7 - 10 DAYS,,,,15 -30CM,"15-30, 90-120,180",FOCAL,,STAKE/SUPPORT. PINCH 20 - 30CM,
SILVER DOLLAR EUC,10 - 12 WKS,SURFACE SOW LIGHT COVER WITH VERMICULITE,LIGHT,LIGHT & MOIST,18°C - 24°C,2 - 3 WKS,,,,30 - 60CM,TALL,FILLER,,,
SCABIOSA PINCUSHION,4 - 6 WKS,SURFACE BARELY COVER WITH VERMICULITE,LIGHT,LIGHT & MOIST,18°C - 21°C ,7 - 14 DAYS,,HARDEN OFF,,30CM,30 - 45CM,AIR,,STAKE/SUPPORT,
BILLY BUTTON,4 WKS,1mm,LIGHT,LIGHT & MOIST,21°C - 24°C ,14 - 21 DAYS,,,,30CM,50 - 70CM,AIR,,,
RUDBECKIA,6 - 10 WKS,1mm SURFACE LIGHTLY COVER WITH VERMICULITE,LIGHT,"STRATIFICATION, LIGHT & MOIST",20°C - 22°C ,7 - 14 DAYS,,,,10 - 25CM,30 - 240CM,AIR,,,
AMARANTH,4 - 6 WKS,SURFACE LIGHTLY COVERED WITH VERMICULITE,LIGHT,LIGHT & MOIST,20°C - 25°C ,7 - 10 DAYS,,,,30 - 45CM,100 - 200CM,FILLER,,STAKE/SUPPORT,
STATICE,6 WKS,5mm COVER WITH VERMICULITE,LIGHT,LIGHT & MOIST,22°C - 24°C ,7 - 14 DAYS,,,,30 - 40CM,60 - 80CM,FILLER,,,
PANSY,WINTER,,DARK,,18°C - 24°C,7 DAYS - 3 WKS,,,,,15 - 30CM,,,,
DAHLIA,6 - 8 WKS,,DARK,,18°C - 21°C ,3 - 14 DAYS,,,,,30 - 200CM,,,,
SUNFLOWER,,,,,,,,,,,,,,,
NASTURTIUM,,,,,,,,,,,,,,,
CALENDULA,,,,,,,,,,,,,,,
MARIGOLD,,,,,,,,,,,,,,,
CORN FLOWER,,,,,,,,,,,,,,,
SWEET PEAS,,,,,,,,,,,,,,,
BUCKWHEAT,,,,,,,,,,,,,,,
